Choice1,Choice2,Choice3,Chosen,TimeTaken,Likert
HL,MM,LH,MM,11454,FC
HL,MM,LH,LH,22744,FC
HL,MM,LH,MM,11159,CC
HL,MM,LH,LH,6152,CC
HL,MM,LH,LH,6455,CC
HL,MM,LH,LH,8364,FC
HL,MM,LH,MM,10143,CC
HL,MM,LH,LH,8311,CC
HL,MM,LH,LH,11945,FC
HL,MM,LH,MM,31167,FC
HL,MM,LH,LH,10654,SC
HL,MM,LH,LH,8790,CC
HL,MM,LH,LH,10941,FC
HL,MM,LH,MM,6105,CC
HL,MM,LH,LH,5522,CC
HL,MM,LH,MM,8867,CC
HL,MM,LH,LH,5446,FC
HL,MM,LH,HL,18346,FC
LM,MH,HL,LL,4335,CC
LM,MH,HL,HL,3128,SC
LM,MH,HL,HL,6766,SC
LM,MH,HL,HL,5399,CC
LM,MH,HL,MH,5967,CC
LM,MH,HL,MH,5903,CC
LM,MH,HL,MH,11002,FC
LM,MH,HL,MH,7071,CC
LM,MH,HL,HL,15616,FC
LM,MH,HL,MH,13904,CC
LM,MH,HL,HL,8480,CC
LM,MH,HL,MH,8512,FC
LM,MH,HL,HL,6908,CC
LM,MH,HL,MH,16073,CC
LM,MH,HL,MH,8119,CC
LM,MH,HL,MH,7108,FC
LM,MH,HL,HL,6295,FC
LM,MH,HL,MH,11319,SC
LM,MH,HL,HL,10727,FC
LM,MH,HL,HL,5134,FC
LM,MH,HL,HL,4548,CC
LM,MH,HL,HL,15834,CC
LM,MH,HL,MH,8578,CC
LM,MH,HL,MH,4324,FC
LM,MH,HL,HL,9539,FC
LL,HH,MM,MM,5041,CC
LL,HH,MM,HH,2992,CC
LL,HH,MM,HH,9236,CC
LL,HH,MM,HH,10289,CC
LL,HH,MM,HH,8219,FC
LL,HH,MM,HH,7157,FC
LL,HH,MM,HH,3596,CC
LL,HH,MM,HH,10512,FC
LL,HH,MM,HH,11248,CC
LL,HH,MM,HH,8712,CC
LL,HH,MM,HH,13912,CC
LL,HH,MM,HH,26352,FC
LL,HH,MM,HH,6941,CC
LL,HH,MM,HH,3353,CC
LL,HH,MM,HH,63125,CC
LL,HH,MM,HH,14998,CC
LL,HH,MM,HH,4516,CC
LL,HH,MM,HH,6059,FC
LL,HH,MM,HH,5956,CC
LL,HH,MM,HH,7796,FC
LL,HH,MM,HH,15241,CC
LL,HH,MM,HH,14715,CC
LL,HH,MM,HH,8822,FC
LL,HH,MM,HH,7379,FC
LL,HH,MM,HH,11496,CC
HL,MH,LM,HL,2808,CC
HL,MH,LM,MH,5800,FC
HL,MH,LM,HL,6011,FC
HL,MH,LM,MH,24345,FC
HL,MH,LM,MH,4680,FC
HL,MH,LM,MH,4414,FC
HL,MH,LM,MH,4669,FC
HL,MH,LM,MH,11111,FC
HL,MH,LM,MH,38384,CC
HL,MH,LM,MH,6639,CC
HL,MH,LM,MH,6848,CC
HL,MH,LM,MH,8080,CC
HL,MH,LM,MH,6177,FC
HL,MH,LM,MH,11236,CC
HL,MH,LM,MH,8251,FC
HL,MH,LM,MH,8500,FC
HL,MH,LM,HL,11959,FC
HL,MH,LM,MH,5782,FC
HL,MH,LM,MH,6588,CC
HL,MH,LM,MH,7551,FC
HL,MH,LM,MH,11903,CC
HL,MH,LM,LM,16483,CC
HL,MH,LM,LM,10773,CC
HL,MH,LM,MH,6783,FC
HL,MH,LM,MH,15992,SC
HL,MM,LH,LH,3368,CC
HL,MM,LH,MM,3347,FC
HL,MM,LH,MM,8887,FC
HL,MM,LH,MM,11228,FC
HL,MM,LH,MM,5144,FC
HL,MM,LH,MM,5097,FC
HL,MM,LH,MM,5363,FC
HL,MM,LH,MM,5999,FC
HL,MM,LH,MM,20160,FC
HL,MM,LH,MM,8791,CC
HL,MM,LH,MM,7616,CC
HL,MM,LH,LH,33080,CC
HL,MM,LH,MM,8835,FC
HL,MM,LH,MM,11644,CC
HL,MM,LH,MM,16135,SC
HL,MM,LH,MM,8519,FC
HL,MM,LH,MM,8420,FC
HL,MM,LH,MM,7494,FC
HL,MM,LH,MM,8452,FC
HL,MM,LH,MM,6552,FC
HL,MM,LH,MM,11231,FC
HL,MM,LH,MM,15159,CC
HL,MM,LH,MM,8807,CC
HL,MM,LH,MM,7066,FC
HL,MM,LH,MM,5857,FC
HL,MM,LH,LH,3600,CC
HL,MM,LH,MM,7089,SC
HL,MM,LH,LH,8288,SC
HL,MM,LH,LH,6597,CC
HL,MM,LH,LH,5821,CC
HL,MM,LH,LH,4719,CC
HL,MM,LH,LH,5289,SC
HL,MM,LH,LH,8914,FC
HL,MM,LH,HL,44112,FC
HL,MM,LH,LH,13768,CC
HL,MM,LH,LH,8024,CC
HL,MM,LH,LH,28951,CC
HL,MM,LH,MM,4891,CC
HL,MM,LH,LH,13019,FC
HL,MM,LH,HL,17656,FC
HL,MM,LH,LH,8761,FC
HL,MM,LH,MM,5922,FC
HL,MM,LH,MM,8441,SC
HL,MM,LH,LH,7688,CC
HL,MM,LH,MM,12263,FC
HL,MM,LH,MM,16274,FC
HL,MM,LH,LH,7763,CC
HL,MM,LH,MM,6970,CC
HL,MM,LH,MM,104720,CC
HL,MM,LH,LH,5978,FC
LM,MH,HL,LM,5816,CC
LM,MH,HL,HL,4992,SC
LM,MH,HL,HL,7212,FC
LM,MH,HL,HL,5019,FC
LM,MH,HL,MH,6089,FC
LM,MH,HL,MH,5165,FC
LM,MH,HL,MH,5783,SC
LM,MH,HL,HL,10966,FC
LM,MH,HL,HL,9792,FC
LM,MH,HL,MH,6536,CC
LM,MH,HL,HL,8960,CC
LM,MH,HL,MH,4137,FC
LM,MH,HL,HL,3415,CC
LM,MH,HL,MH,6438,FC
LM,MH,HL,MH,22532,FC
LM,MH,HL,MH,5387,FC
LM,MH,HL,HL,8256,CC
LM,MH,HL,MH,4202,SC
LM,MH,HL,HL,4721,CC
LM,MH,HL,MH,9328,FC
LM,MH,HL,HL,7775,CC
LM,MH,HL,MH,12559,CC
LM,MH,HL,MH,7128,CC
LM,MH,HL,MH,9269,FC
LM,MH,HL,MH,11454,FC
LL,HH,MM,MM,6889,CC
LL,HH,MM,HH,4919,CC
LL,HH,MM,HH,6173,FC
LL,HH,MM,HH,11576,CC
LL,HH,MM,HH,4983,CC
LL,HH,MM,HH,4196,CC
LL,HH,MM,HH,5872,FC
LL,HH,MM,HH,7870,FC
LL,HH,MM,HH,6768,CC
LL,HH,MM,HH,5784,CC
LL,HH,MM,HH,7504,CC
LL,HH,MM,HH,10448,CC
LL,HH,MM,HH,4282,CC
LL,HH,MM,HH,4282,CC
LL,HH,MM,HH,5959,CC
LL,HH,MM,HH,8408,CC
LL,HH,MM,HH,3100,CC
LL,HH,MM,HH,4334,CC
LL,HH,MM,HH,4767,CC
LL,HH,MM,HH,13517,FC
LL,HH,MM,HH,8278,CC
LL,HH,MM,MM,19858,FC
LL,HH,MM,MM,11142,CC
LL,HH,MM,HH,12486,FC
LL,HH,MM,HH,44938,FC
HL,MH,LM,LM,6280,FC
HL,MH,LM,MH,8488,CC
HL,MH,LM,MH,9495,FC
HL,MH,LM,HL,13455,CC
HL,MH,LM,MH,4314,FC
HL,MH,LM,MH,5628,FC
HL,MH,LM,MH,2878,SC
HL,MH,LM,MH,5165,FC
HL,MH,LM,HL,12752,FC
HL,MH,LM,MH,6512,CC
HL,MH,LM,MH,4544,CC
HL,MH,LM,LM,8871,CC
HL,MH,LM,MH,3449,CC
HL,MH,LM,MH,5774,CC
HL,MH,LM,MH,11613,CC
HL,MH,LM,MH,8171,FC
HL,MH,LM,MH,30032,SLC
HL,MH,LM,MH,5041,FC
HL,MH,LM,MH,5634,FC
HL,MH,LM,MH,7786,FC
HL,MH,LM,LM,14279,SC
HL,MH,LM,LM,14378,CC
HL,MH,LM,LM,6729,CC
HL,MH,LM,MH,1703,FC
HL,MH,LM,MH,6101,SC
HL,MM,LH,LH,5272,CC
HL,MM,LH,MM,4400,CC
HL,MM,LH,MM,4501,CC
HL,MM,LH,MM,5326,CC
HL,MM,LH,MM,6149,FC
HL,MM,LH,LH,4823,FC
HL,MM,LH,LH,5514,SC
HL,MM,LH,LH,6515,FC
HL,MM,LH,MM,11400,FC
HL,MM,LH,MM,9712,CC
HL,MM,LH,LH,7328,CC
HL,MM,LH,MM,4736,CC
HL,MM,LH,LH,2828,FC
HL,MM,LH,LH,44066,FC
HL,MM,LH,MM,8823,CC
HL,MM,LH,MM,15979,FC
HL,MM,LH,MM,10068,SLC
HL,MM,LH,MM,4445,SC
HL,MM,LH,MM,6717,FC
HL,MM,LH,MM,3839,FC
HL,MM,LH,MM,7459,FC
HL,MM,LH,LH,7819,CC
HL,MM,LH,MM,10138,CC
HL,MM,LH,MM,9849,FC
HL,MM,LH,MM,9858,FC
HL,MM,LH,MM,3231,FC
HL,MM,LH,MM,7471,FC
HL,MM,LH,LH,4117,CC
HL,MM,LH,LH,4689,CC
HL,MM,LH,MM,6052,CC
HL,MM,LH,MM,3102,CC
HL,MM,LH,MM,3238,FC
HL,MM,LH,LH,9476,CC
HL,MM,LH,MM,33488,FC
HL,MM,LH,MM,16056,CC
HL,MM,LH,MM,5816,CC
HL,MM,LH,LH,1912,CC
HL,MM,LH,MM,10928,FC
HL,MM,LH,LH,4100,FC
HL,MM,LH,MM,8243,CC
HL,MM,LH,MM,40815,FC
HL,MM,LH,MM,8188,SLC
HL,MM,LH,MM,5438,SC
HL,MM,LH,LH,5126,CC
HL,MM,LH,MM,2481,FC
HL,MM,LH,MM,10074,SC
HL,MM,LH,LH,10332,FC
HL,MM,LH,LH,8091,FC
HL,MM,LH,MM,7023,FC
HL,MM,LH,LH,7201,FC
LM,MH,HL,LM,8143,CC
LM,MH,HL,MH,3071,CC
LM,MH,HL,MH,4477,CC
LM,MH,HL,HL,9939,FC
LM,MH,HL,MH,3647,CC
LM,MH,HL,MH,3475,FC
LM,MH,HL,MH,7324,FC
LM,MH,HL,MH,5255,CC
LM,MH,HL,MH,9072,FC
LM,MH,HL,MH,6032,CC
LM,MH,HL,MH,4375,CC
LM,MH,HL,MH,1360,CC
LM,MH,HL,HL,4902,SC
LM,MH,HL,MH,3882,FC
LM,MH,HL,MH,6440,FC
LM,MH,HL,MH,17025,FC
LM,MH,HL,HL,9544,SLC
LM,MH,HL,HL,18007,SC
LM,MH,HL,MH,7980,FC
LM,MH,HL,MH,3990,FC
LM,MH,HL,MH,9058,SC
LM,MH,HL,HL,10601,CC
LM,MH,HL,MH,7276,CC
LM,MH,HL,MH,40409,FC
LM,MH,HL,LM,13591,SC
