participant_id,r1_choice,r1_time,r1_likert,r2_choice,r2_time,r2_likert,r3_choice,r3_time,r3_likert,r4_choice,r4_time,r4_likert,r5_choice,r5_time,r5_likert,r6_choice,r6_time,r6_likert,r7_choice,r7_time,r7_likert,r8_choice,r8_time,r8_likert,r9_choice,r9_time,r9_likert,r10_choice,r10_time,r10_likert,r11_choice,r11_time,r11_likert,r12_choice,r12_time,r12_likert,r13_choice,r13_time,r13_likert,r14_choice,r14_time,r14_likert,r15_choice,r15_time,r15_likert,r16_choice,r16_time,r16_likert,r17_choice,r17_time,r17_likert,r18_choice,r18_time,r18_likert,r19_choice,r19_time,r19_likert,r20_choice,r20_time,r20_likert,q1,q2
11,3,5688,CC,3,12880,CC,3,7272,CC,2,8736,CC,1,8928,CC,2,4464,CC,2,5720,CC,2,6408,CC,3,6152,CC,3,8480,CC,2,13912,CC,2,6848,CC,2,7616,CC,3,8024,CC,3,8960,CC,2,7504,CC,2,4544,CC,3,7328,CC,2,5816,CC,2,4375,CC,most number of products sold and reviews given.,"star, visual nakikita. "
12,3,9984,CC,3,7808,CC,3,9096,FC,2,6672,CC,1,5280,CC,3,8904,FC,2,7623,CC,2,20311,FC,3,6455,CC,2,8512,FC,2,26352,FC,2,8080,CC,3,33080,CC,3,28951,CC,2,4137,FC,2,10448,CC,3,8871,CC,2,4736,CC,3,1912,CC,2,1360,CC,"rating, num of sold,","star, visual, got used to it"
13,3,4717,CC,3,5211,FC,1,4498,FC,2,6903,CC,3,8194,CC,2,4680,CC,2,5977,FC,2,8333,FC,3,8364,FC,3,6908,CC,2,6941,CC,2,6177,FC,2,8835,FC,2,4891,CC,3,3415,CC,2,4282,CC,2,3449,CC,3,2828,FC,2,10928,FC,3,4902,SC,"needs to be a numerous amount of ratings to show variation of consumers. Some consumers might not be rating honestly or as they see it because they might just be after the coins in the e-commerce app. but not too saturated as it can be filled with dummy ratings as mentioned
- numerous & high rating. There can be numerous ratings but majority rated low or a big percentage rated low which means that the product is not as seen/expected",likes because its easier to gauge with the percentage of how many actually recommend the product. Some people tend to focus only on the total number of ratings but they might not realize that a big chunk actually disproves of the product
14,3,4230,CC,3,10893,FC,3,6873,CC,3,8895,FC,1,5847,CC,2,5778,CC,2,11521,CC,2,10202,CC,2,10143,CC,2,16073,CC,2,3353,CC,2,11236,CC,2,11644,CC,3,13019,FC,2,6438,FC,2,4282,CC,2,5774,CC,3,44066,FC,3,4100,FC,2,3882,FC,"more purchases has slightly more importance to me than actual review quality, but i would hesitate to pick products with a rating below 4 stars.","likes, because it gives me the raw number of likes or dislikes without averaging any details out."
15,3,8216,SC,3,49915,FC,3,42299,SC,2,5807,FC,1,13849,FC,2,22244,CC,2,19586,CC,2,20129,SC,3,8311,CC,2,8119,CC,2,63125,CC,2,8251,FC,2,16135,SC,1,17656,FC,2,22532,FC,2,5959,CC,2,11613,CC,2,8823,CC,2,8243,CC,2,6440,FC,"Seeing how much up votes out of the total votes on the product, balance of stars and number of sold. ","I find upvotes helpful because along with the total number of votes, it might give the strongest sense of credibility for the quality of the item especially if these are required to be answered by users so that users may know how much of the buyers were satisfied (better if percentage of upvotes were shown)."
16,3,5581,FC,3,9385,FC,3,8125,FC,2,8183,FC,1,13378,FC,2,24886,CC,2,32448,FC,2,32511,SLC,3,11945,FC,2,7108,FC,2,14998,CC,2,8500,FC,2,8519,FC,3,8761,FC,2,5387,FC,2,8408,CC,2,8171,FC,2,15979,FC,2,40815,FC,2,17025,FC,"I mostly focused on number of sold first and then ratings. I feel like the ratings are more trustworthy when there are a lot of buyers. I also think that people are most likely to rate if they have a bad experience, so if I see a 80% satisfaction ratings, but the number sold may be 2000, that's already 400 dissatisfied customers, which sounds concerning to me.","Honestly, the stars. The others, while more informative, felt too computational. I don't want to compute or try to create educated statistical inferences on additional data that is being displayed to me. The stars are simple enough and feels easier to digest as a buyer. In a sense, I'm experiencing cognitive overload when it comes to the other rating systems because there's too much to look at. Granted, they are more informative and may help with decision making, but it made it more difficult to choose. If we're going by overall helpfulness, I'd say stars talaga."
17,3,7637,CC,3,13752,FC,1,17269,SLC,1,19879,SLC,3,21707,SLC,2,7922,CC,1,15606,FC,2,17037,FC,2,31167,FC,3,6295,FC,2,4516,CC,1,11959,FC,2,8420,FC,2,5922,FC,3,8256,CC,2,3100,CC,2,30032,SLC,2,10068,SLC,2,8188,SLC,3,9544,SLC,"  - First, I checked the ratings.
   - Then, I looked at the number of products sold.
   - If a product had low sales (less than 100) but high ratings, I would consider the second-highest rated product. However, if the second-highest rating was below 4 stars, I would stick with my first option.","  - The likes option was refreshing because it presented the percentage or ratio of how much customers liked the product. It made it easier to establish a mental standard.
   - Personally, I didn't like the upvote option as much because I had to calculate the ratio mentally."
18,3,6241,FC,3,6772,SC,3,8150,SC,2,24969,FC,1,11110,FC,3,6824,SC,2,8321,FC,2,12110,SC,3,10654,SC,2,11319,SC,2,6059,FC,2,5782,FC,2,7494,FC,2,8441,SC,2,4202,SC,2,4334,CC,2,5041,FC,2,4445,SC,2,5438,SC,3,18007,SC,"Usually consider how many people have bought; from those, what the percentage are satisfied and unsatisfied; differed in the last set, since you can see the amount of upvotes and downvotes","In terms of product quality, stars still best. Upvote could mean that they're satisfied. Star rating can be more indicative of the quality since it's a scale."
19,3,5027,CC,3,7907,FC,3,9144,FC,2,5923,CC,1,9127,FC,2,6990,CC,2,8581,CC,2,5329,CC,3,8790,CC,3,10727,FC,2,5956,CC,2,6588,CC,2,8452,FC,3,7688,CC,3,4721,CC,2,4767,CC,2,5634,FC,2,6717,FC,3,5126,CC,2,7980,FC,check how much people actually rated and how many stars there were,upvotes were easier because there are a lot of people who shop online that don't give a good rating kasi panget packaging or mali yung dumating; upvote helped me more in determing whether the product was good or not
20,3,5368,FC,1,12366,FC,3,4173,FC,3,4176,FC,3,4736,FC,2,7986,FC,2,9167,FC,2,10541,FC,3,10941,FC,3,5134,FC,2,7796,FC,2,7551,FC,2,6552,FC,2,12263,FC,2,9328,FC,2,13517,FC,2,7786,FC,2,3839,FC,2,2481,FC,2,3990,FC,"looking for more reviews, higher number","star, it gave you the most information"
21,3,10794,CC,1,24059,FC,3,8335,SC,3,5485,CC,3,7774,FC,2,11126,CC,2,18017,SC,2,15258,SC,2,6105,CC,3,4548,CC,2,15241,CC,2,11903,CC,2,11231,FC,2,16274,FC,3,7775,CC,2,8278,CC,3,14279,SC,2,7459,FC,2,10074,SC,2,9058,SC,"combination of how high the rating is and how many people have reviewed. if less than 100, don't really trust much","likes, more confident because it feels like it gives more information"
22,3,8530,CC,3,10152,CC,3,7939,CC,3,7734,CC,1,11651,FC,2,10768,CC,2,6435,CC,3,9558,CC,3,5522,CC,3,15834,CC,2,14715,CC,3,16483,CC,2,15159,CC,3,7763,CC,2,12559,CC,3,19858,FC,3,14378,CC,3,7819,CC,3,10332,FC,3,10601,CC,Even spread out of the reviews to sold ratio,"Stars. When buying products online, I got used to seeing stars as the form of assurance whether a product is good or not"
23,3,7382,FC,2,8132,CC,1,10751,FC,2,13832,CC,2,7832,CC,2,13399,FC,3,7057,CC,2,8924,CC,2,8867,CC,2,8578,CC,2,8822,FC,3,10773,CC,2,8807,CC,2,6970,CC,2,7128,CC,3,11142,CC,3,6729,CC,2,10138,CC,3,8091,FC,2,7276,CC,"Rating and number of sold, at the end mostly comparison of ratings","""Number of likes"" but then, if quick search, stars generally since its already encoded in my brain to usually see stars as basis"
24,3,5259,FC,3,11554,SC,2,3483,FC,2,2611,FC,3,15142,FC,2,71943,CC,1,22628,CC,2,6263,FC,3,5446,FC,2,4324,FC,2,7379,FC,2,6783,FC,2,7066,FC,2,104720,CC,2,9269,FC,2,12486,FC,2,1703,FC,2,9849,FC,2,7023,FC,2,40409,FC, I tried to asses the ratio of the rating to the  number of products sold and how many rated the products,i preferred to the stars since you can visually see the stars and would give u an immediate idea of the rating of the product
25,3,10185,CC,3,12400,FC,3,11487,FC,3,31510,FC,3,8463,CC,2,28042,SC,2,7487,FC,2,9447,CC,1,18346,FC,3,9539,FC,2,11496,CC,2,15992,SC,2,5857,FC,3,5978,FC,2,11454,FC,2,44938,FC,2,6101,SC,2,9858,FC,3,7201,FC,1,13591,SC,"The actual rating (if its highly rated) and the amount sold (the higher amount of sales, the more I'm inclined to trust it). If more people bought it, it feels like a lot of people have already vetted the product. With 10k sales, you can already think that atleast half of them did their due diligence and verify with the reviews that its good. In a sense you trust them more since a lot of people trusted them enough to buy it. Even with different ratings, gravitaed towards the number of sales sold with a higher rating. But if the rating was lower even with more sales, I would still not pick that product. For me its high sale, high rating but not high sale, low rating or not low sale, high rating. ","I preferred the stars because of their visual presentation (you can understand it immediately within a glance) but I did find the likes most helpful, specifically the percentages. The percentages is great at giving context with the likes but the stars are very visual and you don't really need to process what you saw. This could just be because its what I'm used to but maybe a combination of both might be interesting.  I personally disliked seeing the number of ratings beside the stars. It somewhat adds extra thinking/cognitive load to the user having to look at 2 different numbers (number of ratings, number of sold) just to process if the rating is ""good"" or balanced. But it works well for the likes and the upvotes because you need more context with them. For the upvotes, it was hard to process immediately since I needed a bit more time to understand their percentages (for example in ""42 of 60 ratings"" I needed to contextualize if its majority upvote because they're both low numbers as opposed to ""200 of 250 ratings""). But overall thats just how I understood it."
